Date,Open,High,Low,Close,Volume,BTC_Price_CryptoCompare,BTC_Volume_CryptoCompare,BTC_SMA_50,BTC_EMA_20,BTC_RSI,BTC_MACD,Fear_Greed_Index,BTC_Sentiment,BTC_Trends
2021-06-12,37340.14453125,37408.92578125,34728.19140625,35552.515625,37924228550,35541.78,1450138289.51,44994.5490625,37633.13265096356,41.702976749835145,-2354.5602754440624,28.0,-0.0068,25
2021-06-13,35555.7890625,39322.78125,34864.109375,39097.859375,40669112838,39017.37,1727291768.5,44775.48890625,37772.63043420513,50.20996037837431,-1968.332938783904,23.0,-0.019,24
2021-06-14,39016.96875,40978.36328125,38757.28515625,40218.4765625,43148914673,40526.63,2740589573.6,44599.773359375,38005.5681607094,52.56610331425355,-1553.9080653175845,28.0,0.0515,31
2021-06-15,40427.16796875,41295.26953125,39609.46875,40406.26953125,46420149185,40161.86,1943860792.12,44327.463671875,38234.206386475176,52.96776601232802,-1196.5272231822382,38.0,0.0279,26
2021-06-16,40168.69140625,40516.77734375,38176.03515625,38347.0625,39211635100,38345.41,1883613058.48,43993.742578125,38244.954587763255,48.15273563606196,-1067.1595775840833,33.0,-0.0288,24
2021-06-17,38341.421875,39513.671875,37439.67578125,38053.50390625,37096670047,38082.3,1599770630.8,43658.31859375,38226.72118952389,47.48995681970163,-977.0595769435458,26.0,-0.0463,22
2021-06-18,38099.4765625,38187.26171875,35255.85546875,35787.24609375,36200887275,35830.29,2207651943.63,43302.961328125,37994.39022802162,42.61360401959019,-1076.1179252799484,25.0,0.0755,21
2021-06-19,35854.52734375,36457.796875,34933.0625,35615.87109375,31207279719,35515.38,1601193146.33,42860.275234375,37767.86459618623,42.2602191701406,-1155.135230383632,23.0,0.1699,20
2021-06-20,35563.140625,36059.484375,33432.07421875,35698.296875,36664034054,35602.26,1964614466.35,42417.68015625,37570.762908454206,42.50717178055844,-1197.3041651613455,21.0,-0.0126,22
2021-06-21,35641.14453125,35721.640625,31295.935546875,31676.693359375,52809038594,31652.62,3650731161.39,41918.5924609375,37009.42295139904,34.70740676346426,-1537.5096889240958,23.0,-0.1222,33
